"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
EPI_ISL_451259,hCoV-19/USA/LA-EVTL098/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451260,hCoV-19/USA/LA-EVTL099/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451261,hCoV-19/USA/LA-EVTL100/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451262,hCoV-19/USA/LA-EVTL101/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451263,hCoV-19/USA/LA-EVTL102/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451264,hCoV-19/USA/LA-EVTL103/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451265,hCoV-19/USA/LA-EVTL104/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451266,hCoV-19/USA/LA-EVTL105/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451267,hCoV-19/USA/LA-EVTL106/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451268,hCoV-19/USA/LA-EVTL107/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451269,hCoV-19/USA/LA-EVTL108/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451270,hCoV-19/USA/LA-EVTL109/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451271,hCoV-19/USA/LA-EVTL110/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451272,hCoV-19/USA/LA-EVTL111/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451273,hCoV-19/USA/LA-EVTL112/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451274,hCoV-19/USA/LA-EVTL113/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451275,hCoV-19/USA/LA-EVTL114/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451276,hCoV-19/USA/LA-EVTL115/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451277,hCoV-19/USA/LA-EVTL116/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451278,hCoV-19/USA/LA-EVTL117/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451279,hCoV-19/USA/LA-EVTL118/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451280,hCoV-19/USA/LA-EVTL119/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451281,hCoV-19/USA/LA-EVTL120/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451282,hCoV-19/USA/LA-EVTL121/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451283,hCoV-19/USA/LA-EVTL122/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451284,hCoV-19/USA/LA-EVTL123/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451285,hCoV-19/USA/LA-EVTL124/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451286,hCoV-19/USA/LA-EVTL125/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451287,hCoV-19/USA/LA-EVTL126/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451288,hCoV-19/USA/LA-EVTL127/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451289,hCoV-19/USA/LA-EVTL128/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451290,hCoV-19/USA/LA-EVTL129/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451291,hCoV-19/USA/LA-EVTL130/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451292,hCoV-19/USA/LA-EVTL131/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451293,hCoV-19/USA/LA-EVTL132/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451294,hCoV-19/USA/LA-EVTL133/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451295,hCoV-19/USA/LA-EVTL134/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451296,hCoV-19/USA/LA-EVTL135/2020,North America / USA / Louisiana,2020-05-09,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451297,hCoV-19/USA/LA-EVTL136/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_452138,hCoV-19/USA/VI-CDC-4670/2020,North America / USA / Virgin Islands,2020-05-05,VI-US Virgin Islands Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention","Anna Uehara, Yan Li, Anna Montmayeur, Ying Tao, Krista Queen, Jing Zhang, Clinton R. Paden, Rachel Marine, Haibin Wang, Bettina Bankamp, Zachary Weiner,  Suxiang Tong"
EPI_ISL_452283,hCoV-19/USA/MI-MDHHS-SC20409/2020,North America / USA / Michigan,2020-05-01,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories","Blankenship HM, Riner D, Soehnlen MK"
EPI_ISL_452284,hCoV-19/USA/MI-MDHHS-SC20410/2020,North America / USA / Michigan,2020-05-01,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories","Blankenship HM, Riner D, Soehnlen MK"
EPI_ISL_454656,hCoV-19/USA/CA-CZB-1236/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454657,hCoV-19/USA/CA-CZB-1237/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454659,hCoV-19/USA/CA-CZB-1239/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454672,hCoV-19/USA/CA-CZB-1252/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454675,hCoV-19/USA/CA-CZB-1255/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454676,hCoV-19/USA/CA-CZB-1256/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454677,hCoV-19/USA/CA-CZB-1257/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454678,hCoV-19/USA/CA-CZB-1258/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454680,hCoV-19/USA/CA-CZB-1260/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454681,hCoV-19/USA/CA-CZB-1261/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454682,hCoV-19/USA/CA-CZB-1262/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454683,hCoV-19/USA/CA-CZB-1263/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_454685,hCoV-19/USA/CA-CZB-1265/2020,North America / USA / California / Santa Clara County,2020-05-12,County of Santa Clara Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
